TM resonant wavenumbers:  
   187 8.6002972985801               0
   188 8.6244849364946               0
   189 8.6317327663681               0
   190 8.6539908854653               0
   191 8.6683662675627               0
   192 8.6683662675627               0
   193 8.7451382671309               0
   194   8.89644652406               0
   195   8.89644652406               0
   196 8.9016208869172               0
   197  8.987756123142               0
   198 8.9955889918169               0
   199 9.0503739506843               0
   200 9.0503739506843               0
   201 9.0689456848369               0
   202 9.1269648028385               0
   203 9.1269648028385               0
   204 9.1784436195184               0
   205 9.2020516477938               0
   206 9.2647641186074               0
   207 9.2647641186074               0
   208 9.2929997112136               0
   209 9.2929997112136               0
   210 9.3144387316617               0
   211 9.4159814708599               0
   212 9.4181754364239               0
   213 9.4476916730426               0
   214 9.4476916730426               0
   215 9.4610278094985               0
   216 9.4838808809506               0
   217 9.4965842318479               0
   218  9.498741668808               0
   219  9.498741668808               0
   220 9.5291073989892               0
   221 9.5630956179074               0
   222 9.6252956361102               0
   223 9.6252956361102               0
   224 9.7167075764447               0
   225 9.7608169410378               0
   226 9.7976770704188               0
   227 9.7976770704188               0
   228 9.7981436036416               0
   229 9.8058103811758               0
   230 9.8144140969976               0
   231 9.8611473228779               0
   232 9.8973913306542               0
   233 9.9139524975309               0
   234 9.9139524975309               0
   235 9.9909773299125               0
   236 9.9909773299125               0
   237 10.038066175954               0
   238 10.044783334754               0
   239 10.044783334754               0
   240 10.112612408532               0
   241 10.112612408532               0
   242 10.112970300941               0
   243 10.224978881341               0
   244 10.241490047324               0
   245 10.273283921537               0
   246 10.273283921537               0
   247 10.281872723326               0
   248 10.314381843405               0
   249 10.318420393396               0
   250 10.331271707723               0
   251 10.331271707723               0
   252  10.35194934368               0
   253 10.570995430751               0
   254 10.592780560308               0
   255 10.592780560308               0
   256 10.601704558441               0
   257 10.617369372287               0
   258 10.654536150068               0
   259 10.654536150068               0
   260 10.715776660804               0
   261 10.723699590278               0
   262 10.805383774216               0
   263 10.869780123892               0
   264 10.869780123892               0
   265 10.980419946687               0
   266 10.987506228311               0
   267 10.987506228311               0
   268 10.994316785358               0
   269 11.024693511044               0
   270 11.062579551343               0
   271 11.062579551343               0
   272  11.12249268533               0
   273 11.238018290943               0
   274 11.238018290943               0
   275 11.313031644311               0
   276 11.315341769631               0
   277 11.315341769631               0
   278 11.334661358121               0
   279 11.360492287683               0
   280 11.412800638137               0
   281 11.488552501562               0
   282 11.510956802299               0
   283 11.516868544451               0
   284 11.545362824328               0
   285 11.545362824328               0
   286 11.761587861349               0
   287 11.761587861349               0
   288  11.76491790721               0
   289 11.856657102799               0
   290 11.875943532424               0
   291 11.875943532424               0
   292 11.899648380124               0
   293 12.005447228691               0
   294 12.009739510173               0
   295 12.009739510173               0
   296 12.029228949801               0
   297 12.172729002001               0
   298 12.172729002001               0
   299 12.260242488986               0
   300 12.315774609954               0
   301 12.383041208293               0
   302 12.440291381638               0
   303 12.440291381638               0
   304 12.472902125377               0
   305 12.547614444963               0
   306 12.617499159495               0
   307 12.689830320401               0
   308 12.689830320401               0
   309 12.723549097021               0
   310 12.784645346681               0
   311 12.784645346681               0
   312 12.791631675444               0
   313 12.911024586499               0
   314 12.911024586499               0
   315   13.0682599348               0
   316 13.082668966216               0
   317 13.183495976204               0
   318 13.215022926347               0
   319 13.315197980637               0
   320 13.315197980637               0
   321 13.417919786875               0
   322 13.443340415409               0
   323 13.443340415409               0
   324 13.446315544831               0
   325 13.463867342801               0
   326 13.553180580237               0
   327 13.553180580237               0
   328 13.558898386053               0
   329 13.660956193125               0
   330 13.660956193125               0
   331 13.768514958653               0
   332  13.88323222444               0
   333  14.01268256816               0
   334 14.018897772467               0
   335 14.061628860841               0
   336 14.094481929536               0
   337 14.094481929536               0
   338 14.280478406558               0
   339 14.280478406558               0
   340 14.288705302506               0
   341 14.328873637131               0
   342 14.328873637131               0
   343  14.33607765011               0
   344 14.366873327844               0
   345 14.366873327844               0
   346 14.391585949128               0
   347 14.485007739407               0
   348  14.57021589937               0
   349 14.652093507971               0
   350  14.69635926564               0
   351 14.763971347539               0
   352 14.766103085324               0
   353 14.766103085324               0
   354 14.775727674057               0
   355 14.843808956942               0
   356 14.843808956942               0
   357 14.931870529657               0
   358 14.940380300102               0
   359 14.940380300102               0
   360 15.062951457404               0
   361 15.107851145216               0
   362 15.130622075986               0
   363 15.130622075986               0
   364  15.15693437793               0
   365 15.215696109549               0
   366 15.223773002384               0
   367 15.223773002385               0
   368 15.271995461674               0
   369 15.276537617523               0
   370 15.329743328526               0
   371 15.329743328526               0
   372 15.458044855444               0
   373 15.499617978307               0
   374 15.565258684602               0
   375 15.577053327536               0
   376 15.577053327536               0
   377 15.596755217946               0
   378 15.656019823327               0
   379 15.656019823327               0
   380 15.685653069811               0
   381 15.712033845604               0
   382 15.712033845604               0
   383 15.738495855837               0
   384 15.784150615027               0
   385 15.972373793474               0
   386 15.998592242352               0
   387 16.058877306876               0
   388 16.079418606767               0
   389 16.079418606767               0
   390 16.153161765238               0
   391 16.153161765238               0
   392 16.268414434757               0
   393 16.298094697628               0
   394 16.309682957401               0
   395 16.309682957401               0
   396 16.503719087179               0
   397 16.533062709931               0
   398 16.567339157888               0
   399 16.567339157888               0
   400 16.612690531561               0
   401 16.664420186688               0
   402 16.701584755786               0
   403 16.701584755786               0
   404 16.769760848525               0
   405 16.815220395683               0
   406 16.933583363477               0
   407 16.953860834502               0
   408 16.953860834502               0
   409 17.107434116922               0
   410  17.11804069345               0
   411 17.122152172161               0
   412 17.122152172161               0
   413  17.39372281394               0
   414 17.407313145157               0
   415 17.407313145157               0
   416 17.427096828822               0
   417  17.42976464114               0
